ID_NBC,NBC,Area_Conocimiento,CINE_Campo_Amplio,Total_Programas_SNIES,Areas_Cualificacion_CUOC,N_Areas_CUOC,Codigos_CUOC,N_Ocupaciones_CUOC
11,Economía,"Economía, administración, contaduría y afines","Ciencias Sociales, Periodismo e Información",667,Ciencias Sociales Y Humanidades,1,26432|26433|26434|26340|26310|34120|26351|26320|26360|26330|26431,11
12,"Ingeniería ambiental, sanitaria y afines","Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",559,"Construcción E Infraestructura|Fabricación, Transformación De Materiales, Instalación, Mantenimiento Y Reparación|Producción De Energía Y Electricidad|Electrónica Y Automatización|Industria Química|Exploración Y Extracción De Minas, Canteras, Petróleo Y Gas|Textil, Cuero, Confección Y Diseño De Modas|Transformación De La Madera Y Fabricación De Muebles",8,31232|81410|21510|81420|21521|72210|21522|71190|81430|72220|96292|72230|71210|75310|72240|71221|71222|75321|75322|71230,172
13,Psicología,Ciencias sociales y humanas,"Ciencias Sociales, Periodismo e Información",529,Ciencias Sociales Y Humanidades,1,26432|26433|26434|26340|26310|34120|26351|26320|26360|26330|26431,11
14,Ingeniería civil y afines,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",521,"Construcción E Infraestructura|Fabricación, Transformación De Materiales, Instalación, Mantenimiento Y Reparación|Producción De Energía Y Electricidad|Electrónica Y Automatización|Industria Química|Exploración Y Extracción De Minas, Canteras, Petróleo Y Gas|Textil, Cuero, Confección Y Diseño De Modas|Transformación De La Madera Y Fabricación De Muebles",8,31232|81410|21510|81420|21521|72210|21522|71190|81430|72220|96292|72230|71210|75310|72240|71221|71222|75321|75322|71230,172
15,"Comunicación social, periodismo y afines",Ciencias sociales y humanas,Arte y Humanidades,511,"Artes Visuales, Plásticas Y Del Patrimonio Cultural|Audiovisuales, Artes Escénicas Y Música|Literatura Y Artes Gráficas",3,51202|73220|34310|73991|73610|35211|35212|35213|35214|26511|26512|73999|35215|73230|73620|26521|26522|34331|34332|34333,73
16,Ingeniería mecánica y afines,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",483,"Construcción E Infraestructura|Fabricación, Transformación De Materiales, Instalación, Mantenimiento Y Reparación|Producción De Energía Y Electricidad|Electrónica Y Automatización|Industria Química|Exploración Y Extracción De Minas, Canteras, Petróleo Y Gas|Textil, Cuero, Confección Y Diseño De Modas|Transformación De La Madera Y Fabricación De Muebles",8,31232|81410|21510|81420|21521|72210|21522|71190|81430|72220|96292|72230|71210|75310|72240|71221|71222|75321|75322|71230,172
17,"Sociología, trabajo social y afines",Ciencias sociales y humanas,"Ciencias Sociales, Periodismo e Información",460,Ciencias Sociales Y Humanidades,1,26432|26433|26434|26340|26310|34120|26351|26320|26360|26330|26431,11
18,Agronomía,"Agronomía, veterinaria y afines","Agropecuario, Silvicultura, Pesca y Veterinaria",454,"Agropecuario, Silvicultura, Pesca, Acuicultura Y Veterinaria|Elaboración Y Transformación De Alimentos",2,92160|62211|62212|75140|62221|62222|75150|32400|62101|62102|62231|62232|75160|61211|61212|62240|61221|61222|63400|61230,60
19,Salud pública,Ciencias de la salud,Salud y Bienestar,401,Salud Y Bienestar,1,22401|22402|32130|22660|44162|32520|32141|22670|32142|32530|22300|32540|22691|22692|22693|32550|22699|53291|32301|32302,46
20,"Biología, microbiología y afines",Matemáticas y ciencias naturales,"Ciencias Naturales, Matemáticas y Estadística",315,"Ciencias Naturales, Matemáticas Y Estadística|Conservación, Protección Y Saneamiento Ambiental",2,21120|96130|31111|31112|31113|31114|21141|21142|21143|31410|21430|32572|32573|21310|32574|21200|21331|21332|31321|31322,23
21,"Ingeniería agroindustrial, alimentos y afines","Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",298,"Construcción E Infraestructura|Fabricación, Transformación De Materiales, Instalación, Mantenimiento Y Reparación|Producción De Energía Y Electricidad|Electrónica Y Automatización|Industria Química|Exploración Y Extracción De Minas, Canteras, Petróleo Y Gas|Textil, Cuero, Confección Y Diseño De Modas|Transformación De La Madera Y Fabricación De Muebles",8,31232|81410|21510|81420|21521|72210|21522|71190|81430|72220|96292|72230|71210|75310|72240|71221|71222|75321|75322|71230,172
22,Arquitectura y afines,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",294,"Construcción E Infraestructura|Fabricación, Transformación De Materiales, Instalación, Mantenimiento Y Reparación|Producción De Energía Y Electricidad|Electrónica Y Automatización|Industria Química|Exploración Y Extracción De Minas, Canteras, Petróleo Y Gas|Textil, Cuero, Confección Y Diseño De Modas|Transformación De La Madera Y Fabricación De Muebles",8,31232|81410|21510|81420|21521|72210|21522|71190|81430|72220|96292|72230|71210|75310|72240|71221|71222|75321|75322|71230,172
23,"Ciencia política, relaciones internacionales",Ciencias sociales y humanas,"Ciencias Sociales, Periodismo e Información",262,Ciencias Sociales Y Humanidades,1,26432|26433|26434|26340|26310|34120|26351|26320|26360|26330|26431,11
24,Ingeniería eléctrica y afines,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería, Industria y Construcción",253,"Construcción E Infraestructura|Fabricación, Transformación De Materiales, Instalación, Mantenimiento Y Reparación|Producción De Energía Y Electricidad|Electrónica Y Automatización|Industria Química|Exploración Y Extracción De Minas, Canteras, Petróleo Y Gas|Textil, Cuero, Confección Y Diseño De Modas|Transformación De La Madera Y Fabricación De Muebles",8,31232|81410|21510|81420|21521|72210|21522|71190|81430|72220|96292|72230|71210|75310|72240|71221|71222|75321|75322|71230,172
25,Odontología,Ciencias de la salud,Salud y Bienestar,238,Salud Y Bienestar,1,22401|22402|32130|22660|44162|32520|32141|22670|32142|32530|22300|32540|22691|22692|22693|32550|22699|53291|32301|32302,46
26,"Matemáticas, estadística y afines",Matemáticas y ciencias naturales,"Ciencias Naturales, Matemáticas y Estadística",235,"Ciencias Naturales, Matemáticas Y Estadística|Conservación, Protección Y Saneamiento Ambiental",2,21120|96130|31111|31112|31113|31114|21141|21142|21143|31410|21430|32572|32573|21310|32574|21200|21331|21332|31321|31322,23
27,Terapias,Ciencias de la salud,Salud y Bienestar,221,Salud Y Bienestar,1,22401|22402|32130|22660|44162|32520|32141|22670|32142|32530|22300|32540|22691|22692|22693|32550|22699|53291|32301|32302,46
28,"Artes plásticas, visuales y afines",Bellas artes,Arte y Humanidades,219,"Artes Visuales, Plásticas Y Del Patrimonio Cultural|Audiovisuales, Artes Escénicas Y Música|Literatura Y Artes Gráficas",3,51202|73220|34310|73991|73610|35211|35212|35213|35214|26511|26512|73999|35215|73230|73620|26521|26522|34331|34332|34333,73
29,Publicidad y afines,Bellas artes,Administración de Empresas y Derecho,217,"Administración, Finanzas Y Derecho|Comercio, Mercadeo Y Publicidad",2,52230|26120|34320|93210|24111|24112|33330|14391|24120|33340|14399|24130|52300|26191|26199|13410|26211|44130|43110|26219,143
30,Enfermería,Ciencias de la salud,Salud y Bienestar,200,Salud Y Bienestar,1,22401|22402|32130|22660|44162|32520|32141|22670|32142|32530|22300|32540|22691|22692|22693|32550|22699|53291|32301|32302,46
31,"Filosofía, teología y afines",Ciencias sociales y humanas,Arte y Humanidades,196,"Artes Visuales, Plásticas Y Del Patrimonio Cultural|Audiovisuales, Artes Escénicas Y Música|Literatura Y Artes Gráficas",3,51202|73220|34310|73991|73610|35211|35212|35213|35214|26511|26512|73999|35215|73230|73620|26521|26522|34331|34332|34333,73
32,Zootecnia,"Agronomía, veterinaria y afines","Agropecuario, Silvicultura, Pesca y Veterinaria",186,"Agropecuario, Silvicultura, Pesca, Acuicultura Y Veterinaria|Elaboración Y Transformación De Alimentos",2,92160|62211|62212|75140|62221|62222|75150|32400|62101|62102|62231|62232|75160|61211|61212|62240|61221|61222|63400|61230,60
