Codigo_CUOC,Nombre_Ocupacion,Nivel_Competencia
32573,"Técnicos en prevención, gestión y control ambiental / Técnicas en prevención, gestión y control ambiental",3
32574,Asistentes en saneamiento ambiental / Asistentas en saneamiento ambiental,3
32580,Técnicos en atención prehospitalaria / Técnicas en atención prehospitalaria,3
32590,Otros técnicos y profesionales del nivel medio de la salud no clasificados en otras ocupaciones / Otras técnicas y profesionales del nivel medio de la salud no clasificadas en otras ocupaciones,3
33110,"Agentes de bolsa, cambio y otros servicios financieros",3
33120,Analistas y asistentes financieros en préstamos y créditos / Analistas y asistentes financieras en préstamos y créditos,3
33131,Asistentes contables / Asistentas contables,3
33132,Asistentes financieros / Asistentas financieras,3
33133,Asistentes de tesorería / Asistentas de tesorería,3
33134,Técnicos de contabilidad y afines / Técnicas de contabilidad y afines,3
33140,"Técnicos y profesionales del nivel medio de servicios estadísticos, matemáticos y afines / Técnicas y profesionales del nivel medio de servicios estadísticos, matemáticos y afines",3
33150,"Tasadores, avaluadores y liquidadores de seguros / Tasadoras, avaluadoras y liquidadoras de seguros",3
33210,Agentes y corredores de seguros / Agentes y corredoras de seguros,3
33220,Representantes comerciales,3
33230,Agentes de compras,3
33240,Agentes de operaciones comerciales y consignatarios,3
33311,Asistentes de comercio exterior / Asistentas de comercio exterior,3
33312,Gestores y agentes de servicios de aduana / Gestoras y agentes de servicios de aduana,3
33320,"Coordinadores y productores de conferencias, eventos y espectáculos / Coordinadoras y productoras de conferencias, eventos y espectáculos",3
33330,Agentes de empleo y contratistas de mano de obra,3
33340,Agentes inmobiliarios / Agentes inmobiliarias,3
33391,"Agentes y promotores culturales, artísticos y deportivos / Agentes y promotoras culturales, artísticas y deportivas",3
33392,"Asistentes de mercadeo, publicidad y comunicaciones / Asistentas de mercadeo, publicidad y comunicaciones",3
33393,Auxiliares de promoción artística,2
33399,Agentes de servicios comerciales no clasificados en otras ocupaciones,3
33411,Supervisores administrativos / Supervisoras administrativas,3
